  C4 (  261.63 Hz) (reference note)
  G3 (  196.39 Hz) ->   G2 (   98.23 Hz), interval -12, ratio  0.50018
 G#3 (  211.10 Hz) ->  G#2 (  105.59 Hz), interval -12, ratio  0.50020
  B1 (   62.38 Hz) ->   B0 (   31.19 Hz), interval -12, ratio  0.50005
 A#1 (   58.15 Hz) ->  A#0 (   29.08 Hz), interval -12, ratio  0.50005
  C2 (   65.46 Hz) ->   C1 (   32.73 Hz), interval -12, ratio  0.50005
 C#2 (   70.28 Hz) ->  C#1 (   35.15 Hz), interval -12, ratio  0.50005
  D2 (   73.76 Hz) ->   D1 (   36.88 Hz), interval -12, ratio  0.50005
 D#2 (   79.10 Hz) ->  D#1 (   39.55 Hz), interval -12, ratio  0.50006
  E2 (   83.14 Hz) ->   E1 (   41.57 Hz), interval -12, ratio  0.50006
  F2 (   87.24 Hz) ->   F1 (   43.62 Hz), interval -12, ratio  0.50006
 F#2 (   93.61 Hz) ->  F#1 (   46.81 Hz), interval -12, ratio  0.50007
  G2 (   98.23 Hz) ->   G1 (   49.12 Hz), interval -12, ratio  0.50007
 G#2 (  105.59 Hz) ->  G#1 (   52.80 Hz), interval -12, ratio  0.50008
  A2 (  110.82 Hz) ->   A1 (   55.42 Hz), interval -12, ratio  0.50008
  A1 (   55.42 Hz) ->   A0 (   27.71 Hz), interval -12, ratio  0.50005
 A#4 (  465.41 Hz) ->  A#5 (  931.85 Hz), interval +12, ratio  2.00220
  B4 (  498.94 Hz) ->   B5 (  999.08 Hz), interval +12, ratio  2.00241
  C5 (  523.53 Hz) ->   C6 ( 1048.40 Hz), interval +12, ratio  2.00256
 C#5 (  561.03 Hz) ->  C#6 ( 1123.62 Hz), interval +12, ratio  2.00280
  D5 (  588.66 Hz) ->   D6 ( 1179.07 Hz), interval +12, ratio  2.00299
 D#5 (  631.15 Hz) ->  D#6 ( 1264.37 Hz), interval +12, ratio  2.00327
  E5 (  665.59 Hz) ->   E6 ( 1333.53 Hz), interval +12, ratio  2.00351
  F5 (  698.42 Hz) ->   F6 ( 1399.46 Hz), interval +12, ratio  2.00374
 F#5 (  748.66 Hz) ->  F#6 ( 1500.39 Hz), interval +12, ratio  2.00411
  G5 (  785.57 Hz) ->   G6 ( 1574.59 Hz), interval +12, ratio  2.00439
 G#5 (  841.54 Hz) ->  G#6 ( 1687.13 Hz), interval +12, ratio  2.00482
  A5 (  882.99 Hz) ->   A6 ( 1770.52 Hz), interval +12, ratio  2.00515
 A#5 (  931.85 Hz) ->  A#6 ( 1868.87 Hz), interval +12, ratio  2.00555
  B5 (  999.08 Hz) ->   B6 ( 2004.28 Hz), interval +12, ratio  2.00613
  C6 ( 1048.40 Hz) ->   C7 ( 2103.68 Hz), interval +12, ratio  2.00656
 C#6 ( 1123.62 Hz) ->  C#7 ( 2255.39 Hz), interval +12, ratio  2.00724
  D6 ( 1179.07 Hz) ->   D7 ( 2367.30 Hz), interval +12, ratio  2.00777
 D#6 ( 1264.37 Hz) ->  D#7 ( 2539.62 Hz), interval +12, ratio  2.00860
  E6 ( 1333.53 Hz) ->   E7 ( 2679.46 Hz), interval +12, ratio  2.00930
  F6 ( 1399.46 Hz) ->   F7 ( 2812.91 Hz), interval +12, ratio  2.01000
 F#6 ( 1500.39 Hz) ->  F#7 ( 3017.44 Hz), interval +12, ratio  2.01110
  G6 ( 1574.59 Hz) ->   G7 ( 3167.99 Hz), interval +12, ratio  2.01194
 G#6 ( 1687.13 Hz) ->  G#7 ( 3396.66 Hz), interval +12, ratio  2.01327
  A6 ( 1770.52 Hz) ->   A7 ( 3566.36 Hz), interval +12, ratio  2.01430
 A#6 ( 1868.87 Hz) ->  A#7 ( 3766.80 Hz), interval +12, ratio  2.01555
  B6 ( 2004.28 Hz) ->   B7 ( 4043.36 Hz), interval +12, ratio  2.01736
  C7 ( 2103.68 Hz) ->   C8 ( 4246.80 Hz), interval +12, ratio  2.01875
