  C4 (  493.52 Hz) (reference note)
  G5 ( 1483.56 Hz) ->   G6 ( 2983.31 Hz), interval +12, ratio  2.01091
 G#5 ( 1567.42 Hz) ->  G#6 ( 3153.43 Hz), interval +12, ratio  2.01186
  A5 ( 1665.63 Hz) ->   A6 ( 3352.94 Hz), interval +12, ratio  2.01301
 A#5 ( 1761.78 Hz) ->  A#6 ( 3548.56 Hz), interval +12, ratio  2.01419
  B5 ( 1861.65 Hz) ->   B6 ( 3752.08 Hz), interval +12, ratio  2.01546
  C6 ( 1982.39 Hz) ->   C7 ( 3998.61 Hz), interval +12, ratio  2.01706
 C#6 ( 2094.81 Hz) ->  C#7 ( 4228.64 Hz), interval +12, ratio  2.01862
  D6 ( 2228.75 Hz) ->   D7 ( 4503.34 Hz), interval +12, ratio  2.02056
 D#6 ( 2355.06 Hz) ->  D#7 ( 4763.05 Hz), interval +12, ratio  2.02248
  E6 ( 2481.80 Hz) ->   E7 ( 5024.34 Hz), interval +12, ratio  2.02448
  F6 ( 2650.62 Hz) ->   F7 ( 5373.51 Hz), interval +12, ratio  2.02726
 F#6 ( 2801.61 Hz) ->  F#7 ( 5686.93 Hz), interval +12, ratio  2.02988
  G6 ( 2983.31 Hz) ->   G7 ( 6065.59 Hz), interval +12, ratio  2.03318
 G#6 ( 3153.43 Hz) ->  G#7 ( 6421.69 Hz), interval +12, ratio  2.03642
  A6 ( 3352.94 Hz) ->   A7 ( 6841.33 Hz), interval +12, ratio  2.04040
 A#6 ( 3548.56 Hz) ->  A#7 ( 7255.02 Hz), interval +12, ratio  2.04450
  B6 ( 3752.08 Hz) ->   B7 ( 7687.89 Hz), interval +12, ratio  2.04897
  C7 ( 3998.61 Hz) ->   C8 ( 8215.77 Hz), interval +12, ratio  2.05466
